site_id,ipv4
CLCLT00424A,10.112.14.74
CLCLT00426A,10.112.14.192
CLCLT00427A,10.112.14.193
CLCLT00429A,10.112.14.194
CLCLT00430A,10.112.14.195
CLCLT00432A,10.112.14.196
CLCLT00434A,10.112.14.242
CLCLT00435A,10.112.14.243
CLCLT00436A,10.112.14.60
CLCLT00438A,10.112.14.197
CLCLT00441A,10.112.14.244
CLCLT00442A,10.112.14.198
CLCLT00443A,10.112.14.245
CLCLT00444A,10.112.14.199
CLCLT00445A,10.112.15.44
CLCLT00446A,10.112.14.246
CLCLT00447A,10.112.15.56
CLCLT00448A,10.112.14.53
CLCLT00449A,10.112.14.75
CLCLT00450A,10.112.14.76
CLCLT00452A,10.112.14.48
CLCLT00453A,10.112.14.78
CLCLT00454A,10.112.14.79
CLCLT00457A,10.112.14.80
CLCLT00458A,10.112.14.81
CLCLT00459A,10.112.14.200
CLCLT00461A,10.112.14.82
CLCLT00462A,10.112.14.83
CLCLT00463A,10.112.14.84
CLCLT00464A,10.112.14.85
CLCLT00465A,10.112.15.25
CLCLT00466A,10.112.14.61
CLCLT00467A,10.112.14.86
CLCLT00468A,10.112.14.247
CLCLT00469A,10.112.14.87
CLCLT00470A,10.112.15.59
CLCLT00472A,10.112.14.88
CLCLT00474A,10.112.14.89
CLCLT00475A,10.112.15.115
CLCLT00476A,10.112.15.108
CLCLT00480A,10.112.14.90
CLCLT00481A,10.112.15.82
CLCLT00482A,10.112.14.49
CLCLT00483A,10.112.14.91
CLCLT00485A,10.112.14.92
CLCLT00487A,10.96.89.152
CLCLT00488A,10.112.14.93
CLCLT00492A,10.112.14.94
CLCLT00493A,10.96.89.158
CLCLT00494A,10.112.14.95
CLCLT00495A,10.112.14.96
CLCLT00496A,10.112.15.94
CLCLT00499A,10.112.15.97
CLCLT00500A,10.112.14.50
CLCLT00501A,10.112.15.105
CLCLT00503A,10.112.15.45
CLCLT00505A,10.112.15.46
CLCLT00506A,10.112.14.97
CLCLT00507A,10.112.15.98
CLCLT00510A,10.112.14.98
CLCLT00511A,10.112.14.99
CLCLT00513A,10.96.89.180
CLCLT00515A,10.112.14.100
CLCLT00516A,10.112.14.101
CLCLT00517A,10.112.14.102
CLCLT00518A,10.112.14.103
CLCLT00519A,10.112.15.26
CLCLT00528A,10.112.14.104
CLFAY00004A,10.112.15.203
